deficit_bucket,inning_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,early_1_3,5340,0.3575,0.6305,0.4843,0.3964,0.5468,0.4255,0.9541,-1.248,0.063
down_1,middle_4_6,5312,0.3373,0.552,0.4179,0.3998,0.5659,0.4396,0.9776,-1.079,0.015
down_5_plus,late_7_plus,5053,0.0073,0.0113,0.0095,0.3275,0.3794,0.3137,0.0263,-6.782,6.253
down_1,late_7_plus,4150,0.232,0.3383,0.2547,0.3525,0.4051,0.3383,0.974,-0.868,0.296
down_2,middle_4_6,4097,0.2167,0.3454,0.2675,0.3986,0.5531,0.4306,0.4306,-2.226,1.104
down_2,late_7_plus,3327,0.1214,0.1776,0.1335,0.3408,0.3956,0.3267,0.3267,-1.92,1.352
down_5_plus,middle_4_6,3306,0.036,0.0511,0.0439,0.3742,0.5154,0.4223,0.0423,-6.431,5.498
down_2,early_1_3,3030,0.2554,0.4502,0.3376,0.3835,0.5419,0.4145,0.4145,-2.34,1.099
down_3,middle_4_6,2951,0.1189,0.2009,0.1467,0.3988,0.532,0.4256,0.246,-3.335,2.098
down_3,late_7_plus,2744,0.0466,0.0678,0.0521,0.3287,0.3812,0.32,0.1396,-3.009,2.443
down_4,late_7_plus,2139,0.0276,0.0383,0.0299,0.323,0.3806,0.3249,0.0827,-3.992,3.409
down_4,middle_4_6,1945,0.0787,0.1362,0.0977,0.4057,0.5491,0.4416,0.1455,-4.156,3.051
down_3,early_1_3,1634,0.1707,0.2803,0.2118,0.4002,0.5532,0.4278,0.2301,-3.449,2.117
down_5_plus,early_1_3,822,0.1071,0.135,0.1229,0.4161,0.573,0.4672,0.0389,-6.035,5.156
down_4,early_1_3,803,0.1146,0.1918,0.1532,0.3873,0.5268,0.4247,0.1108,-4.423,3.183
