deficit_bucket,inning_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_1,early_1_3,5257,0.3827,0.6371,0.5106,0.4141,0.5632,0.4392,0.9583,-1.244,1.4,1.546,,,
down_5_plus,late_7_plus,4855,0.0054,0.0072,0.006,0.3574,0.4122,0.3429,0.0185,-7.102,0.823,0.839,,,
down_1,late_7_plus,4144,0.2266,0.3313,0.2599,0.3448,0.3924,0.3313,0.9718,-0.918,0.877,0.796,,,
down_1,f5_1_5,3577,0.3528,0.5801,0.4476,0.4082,0.5639,0.4507,0.9723,-1.059,1.362,1.445,,,
down_2,late_7_plus,3321,0.1186,0.174,0.1328,0.3342,0.3927,0.3219,0.3219,-1.886,0.872,0.764,,,
down_2,early_1_3,2917,0.2989,0.505,0.3949,0.432,0.5883,0.4758,0.4758,-2.078,1.467,1.491,,,
down_2,f5_1_5,2652,0.2466,0.4163,0.3126,0.4427,0.592,0.4729,0.4729,-2.101,1.447,1.452,,,
down_3,late_7_plus,2579,0.0613,0.0954,0.0682,0.3373,0.3889,0.3075,0.1706,-2.941,0.836,0.777,,,
down_4,late_7_plus,2125,0.0245,0.0381,0.0278,0.3233,0.3751,0.2894,0.0776,-3.978,0.772,0.748,,,
down_5_plus,f5_1_5,1901,0.0395,0.0631,0.0489,0.3924,0.5692,0.4477,0.0568,-6.724,1.375,1.583,,,
down_3,f5_1_5,1832,0.1736,0.2735,0.2047,0.4099,0.5617,0.4481,0.2702,-3.07,1.318,1.455,,,
down_3,early_1_3,1690,0.226,0.3657,0.2852,0.4385,0.5964,0.458,0.2817,-2.845,1.49,1.544,,,
down_1,middle_6,1639,0.3295,0.5095,0.4002,0.3905,0.5503,0.446,0.975,-0.988,1.317,1.375,,,
down_5_plus,middle_6,1330,0.0195,0.0331,0.0241,0.4113,0.5887,0.4549,0.0406,-6.898,1.342,1.595,,,
down_2,middle_6,1240,0.1984,0.3056,0.2387,0.3903,0.5379,0.4323,0.4323,-1.955,1.352,1.394,,,
down_4,f5_1_5,1143,0.0971,0.1557,0.112,0.4156,0.5608,0.4558,0.1382,-4.316,1.372,1.562,,,
down_3,middle_6,981,0.1305,0.1978,0.1498,0.4149,0.5668,0.4506,0.2589,-2.998,1.344,1.457,,,
down_5_plus,early_1_3,921,0.0641,0.1042,0.0858,0.4332,0.6113,0.4734,0.0543,-6.417,1.317,1.574,,,
down_4,early_1_3,914,0.1411,0.2144,0.1674,0.4344,0.57,0.4431,0.1915,-4.202,1.46,1.516,,,
down_4,middle_6,684,0.0746,0.1038,0.0863,0.4108,0.5468,0.424,0.1389,-4.067,1.278,1.532,,,
