inning_bucket,offense_form_bucket,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
late_7_plus,45_50,1657,0.2897,0.3361,0.3259,,,,,,
early_1_3,45_50,1645,0.3641,0.5185,0.2979,,,,,,
early_1_3,50_55,1545,0.3275,0.4997,0.3133,,,,,,
late_7_plus,50_55,1471,0.2808,0.3311,0.2923,,,,,,
f5_1_5,45_50,1215,0.3687,0.5481,0.307,,,,,,
f5_1_5,50_55,1034,0.381,0.5329,0.3201,,,,,,
late_7_plus,40_45,1028,0.3035,0.3667,0.3366,,,,,,
early_1_3,40_45,1025,0.3551,0.5112,0.2829,,,,,,
early_1_3,55_60,798,0.4198,0.5564,0.3459,,,,,,
late_7_plus,55_60,740,0.3068,0.3514,0.3554,,,,,,
f5_1_5,40_45,735,0.3333,0.4898,0.2803,,,,,,
middle_6,45_50,591,0.3435,0.4873,0.3113,,,,,,
f5_1_5,55_60,509,0.3929,0.5599,0.3477,,,,,,
middle_6,50_55,508,0.374,0.5217,0.3051,,,,,,
early_1_3,60_plus,409,0.401,0.5575,0.401,,,,,,
late_7_plus,60_plus,396,0.3232,0.3788,0.3636,,,,,,
early_1_3,lt_40,345,0.3942,0.5565,0.2812,,,,,,
middle_6,40_45,328,0.3384,0.4939,0.253,,,,,,
late_7_plus,lt_40,308,0.2597,0.3182,0.3019,,,,,,
middle_6,55_60,294,0.4592,0.6259,0.3707,,,,,,
f5_1_5,60_plus,264,0.322,0.5114,0.4167,,,,,,
f5_1_5,lt_40,216,0.2917,0.4769,0.2407,,,,,,
middle_6,60_plus,143,0.3916,0.5455,0.3846,,,,,,
middle_6,lt_40,108,0.3611,0.4537,0.3056,,,,,,
