step,script,inputs,outputs,working,has_tests,known_failure_modes,what_it_proves,what_it_does_not_prove
1_slate_detection,RUN_TONIGHT_SLATE.bat,—,launches full pipeline,yes,no,—,Entry point for daily run,—
2_pregame_card_generation,score_today_slate.py (inferred),mlb_games + mlb_team_context + pitcher data,pregame_identifier_cards.csv,yes,yes,—,Assigns probability scores to today's team-game combinations; no lookahead,Kalshi market edge
3_probability_calibration,pregame_probability_calibration_preview.py,identifier cards (all seasons),calibration_summary.md + bin CSVs,yes,no,2026 sample too small (46 rows),Historical hit rate at each score bin,That market prices are below breakeven
4_kalshi_orderbook_collection,kalshi_orderbook_recorder.py,Kalshi WS + REST API,kalshi_orderbook_snapshots (DB),yes (with gap),yes,12-13h daily collection gap 04:00-16:00 UTC; kills afternoon pregame coverage,Captures live market prices for open markets,Historical market prices (pre-June 2026)
5_ev_overlay,kalshi_ev_overlay_preview.py,identifier cards + orderbook snapshots,ev_overlay_summary.md + tradeable/watch/near_miss CSVs,yes,no,Warns but still outputs when snapshot coverage is poor; only side and team_runs_4plus lanes supported,Estimates fill-side edge for today's brain candidates,That fills at estimated price are achievable; that signal is profitable
6_sbr_odds_fetch,sbr_mlb_odds_*.py,SBR website,sbr_moneyline_game_consensus.csv,yes,yes,Moneyline only; no game totals or team totals,Historical market-implied win probabilities for brain candidates,Team total market prices; Kalshi-specific pricing
7_ml_core_sbr_validation,pregame_moneyline_logic_audit.py,identifier cards + SBR CSV,moneyline_core_market_validation.md,yes,no,59/556 rows unmatchable to SBR; SBR != Kalshi prices,Whether ML Core v1 candidates outperformed market-implied win probability historically,Whether Kalshi fill prices would be below breakeven
8_shadow_review_log,ev_shadow_review_log.py,EV overlay output,shadow_review_log.csv + shadow_review_summary.md,yes,no,Only 3 rows total (June 23); tiny sample,Logs candidate-level decisions and estimated fill prices for future grading,Live edge until graded sample is 30+ rows
9_fill_reconciliation,ev_fill_reconciler.py,shadow log + orderbook snapshots,fill_reconciliation_summary.md,yes,no,Only 3 graded rows (June 23); tiny sample,Compares estimated edge vs realized fill price; found ~2c average drift,Statistical significance with current sample
10_team_runs_5plus_no_audit,team_runs_5plus_no_logic_audit.py,identifier cards + SBR CSV,latest_summary.md + sublanes + reason_drivers CSVs,yes,yes (98 pass),Verdict section still blank,Historical baseball signal quality for team_runs_5plus_no_score,Kalshi market edge; fill price availability
11_team_runs_5plus_no_kalshi_v2,team_runs_5plus_no_kalshi_validation.py,identifier cards + kalshi DB,latest_rows.csv + latest_summary.md + candidate_match_audit.csv,yes (v2 fixed),yes (98/98 pass),Historical candidates (2023-2025) have no Kalshi snapshot overlap → all return no_market,Correct candidate-matched validation architecture; returns honest zero-match result,Market pricing (requires live 2026 candidates with concurrent Kalshi snapshots)
12_team_total_suppression_shadow,team_total_suppression_v1.py,identifier cards + kalshi DB,latest_daily_report.md + shadow log (empty),yes,yes,0 rows logged ever; brain fires but no Kalshi ticker match found for historical candidates,Architecture for live shadow logging is in place,Any market signal (no data yet)
13_snapshot_health,kalshi_snapshot_collection_health.py,kalshi DB,latest_collection_health.md,yes,no,—,Current snapshot freshness across all market types; correctly flags stale coverage,Historical coverage; does not backfill
