game_date,team,opponent,role,probable_starter_name,probable_starter_id,pitcher_key,starts_used,outs_used,ip_per_start,ra9,xfip,kbb_pct,bad_start_rate,blowup_rate,early_exit_rate,ra_std,xfip_bucket,ra9_bucket,ip_bucket,kbb_bucket,confidence,data_status,handedness,notes
2026-06-25,CHC,NYM,away,Matthew Boyd,571510,name:matthew_boyd,4,60,5.0,3.6,3.118,22.9,25.0,,50.0,1.414,excellent_lt_3_75,good_3_5_4_25,normal_5_0_5_8,strong_18_23,medium,current_season,,
2026-06-25,PHI,WSN,away,Cristopher Sánchez,650911,name:cristopher_s_nchez,10,194,6.467,1.948,3.158,22.7,20.0,10.0,10.0,1.744,excellent_lt_3_75,excellent_lt_3_5,workhorse_6_4_plus,strong_18_23,high,current_season,,
2026-06-25,SEA,PIT,away,Bryce Miller,682243,name:bryce_miller,5,90,6.0,0.9,3.842,25.2,,,,0.8,good_3_75_4_25,excellent_lt_3_5,deep_5_8_6_4,elite_23_plus,high,current_season,,
2026-06-25,WSN,PHI,home,Cade Cavalli,676917,name:cade_cavalli,10,150,5.0,4.5,4.272,15.8,30.0,10.0,20.0,1.432,avg_4_25_4_75,avg_4_25_5_0,normal_5_0_5_8,solid_13_18,high,current_season,,
2026-06-25,SF,ATH,home,Landen Roupp,694738,name:landen_roupp,10,154,5.133,4.558,4.311,14.7,40.0,10.0,40.0,2.2,avg_4_25_4_75,avg_4_25_5_0,normal_5_0_5_8,solid_13_18,high,current_season,,
2026-06-25,NYY,BOS,away,Cam Schlittler,693645,name:cam_schlittler,10,162,5.4,2.167,4.447,17.0,10.0,10.0,20.0,1.345,avg_4_25_4_75,excellent_lt_3_5,normal_5_0_5_8,solid_13_18,high,current_season,,
2026-06-25,TOR,TEX,home,Kevin Gausman,592332,name:kevin_gausman,10,156,5.2,4.5,4.545,14.7,40.0,10.0,20.0,2.01,avg_4_25_4_75,avg_4_25_5_0,normal_5_0_5_8,solid_13_18,high,current_season,,
2026-06-25,NYM,CHC,home,Freddy Peralta,642547,name:freddy_peralta,10,151,5.033,4.291,4.687,11.0,40.0,10.0,20.0,1.744,avg_4_25_4_75,avg_4_25_5_0,normal_5_0_5_8,below_avg_8_13,high,current_season,,
2026-06-25,STL,AZ,home,Michael McGreevy,700241,name:michael_mcgreevy,10,150,5.0,3.06,4.752,10.1,20.0,,20.0,1.187,bad_4_75_5_25,excellent_lt_3_5,normal_5_0_5_8,below_avg_8_13,high,current_season,,
2026-06-25,BOS,NYY,home,Connelly Early,813349,name:connelly_early,10,160,5.333,4.556,5.082,10.7,50.0,20.0,30.0,1.847,bad_4_75_5_25,avg_4_25_5_0,normal_5_0_5_8,below_avg_8_13,high,current_season,,
2026-06-25,HOU,DET,away,Tatsuya Imai,837227,name:tatsuya_imai,9,105,3.889,5.914,5.249,5.7,55.6,11.1,55.6,1.771,bad_4_75_5_25,bad_5_0_6_0,short_lt_4_3,weak_lt_8,high,current_season,,
2026-06-25,DET,HOU,home,Troy Melton,675512,name:troy_melton,4,76,6.333,2.842,5.392,6.9,25.0,,25.0,1.225,very_bad_5_25_plus,excellent_lt_3_5,deep_5_8_6_4,weak_lt_8,medium,current_season,,
2026-06-25,TEX,TOR,away,MacKenzie Gore,669022,name:mackenzie_gore,10,136,4.533,4.765,5.469,8.3,50.0,,40.0,1.356,very_bad_5_25_plus,avg_4_25_5_0,below_avg_4_3_5_0,below_avg_8_13,high,current_season,,
2026-06-25,AZ,STL,away,Zac Gallen,668678,name:zac_gallen,10,136,4.533,6.949,5.579,7.0,70.0,40.0,50.0,1.746,very_bad_5_25_plus,very_bad_6_plus,below_avg_4_3_5_0,weak_lt_8,high,current_season,,
2026-06-25,PIT,SEA,home,Bubba Chandler,696149,name:bubba_chandler,10,131,4.367,6.389,5.643,6.4,60.0,20.0,30.0,1.578,very_bad_5_25_plus,very_bad_6_plus,below_avg_4_3_5_0,weak_lt_8,high,current_season,,
2026-06-25,ATH,SF,away,Jeffrey Springs,605488,name:jeffrey_springs,10,133,4.433,8.12,5.662,8.9,70.0,30.0,40.0,1.732,very_bad_5_25_plus,very_bad_6_plus,below_avg_4_3_5_0,below_avg_8_13,high,current_season,,
2026-06-25,KC,TB,away,Seth Lugo,607625,name:seth_lugo,10,161,5.367,5.031,5.754,10.3,50.0,30.0,30.0,2.145,very_bad_5_25_plus,bad_5_0_6_0,normal_5_0_5_8,below_avg_8_13,high,current_season,,
2026-06-25,TB,KC,home,Casey Legumina,668984,name:casey_legumina,1,0,,,,,,,100.0,0,missing,missing,short_lt_4_3,weak_lt_8,low,small_sample,,
